Nazwa pełna,Nazwa skrócona,Data pierwszego wpisu do RIK,Przedmiot działalności,Adres siedziby,Kod pocztowy,Miejscowość,Oznaczenie organizatora,Oznaczenie  aktu o utworzeniu instytucji kultury,Dyrektor jednostki,Nr aktu,"Nazwa podmiotu, z którym organizator wspólnie prowadzi instytucję kultury",NIP,REGON
Dom Kultury Klub 13 Muz,DK Klub 13 Muz,1997-03-13 00:00:00,"Do zadań Klubu należą usługi w zakresie kultury i sztuki:prowadzenie działalności kulturalnej na rzecz mieszkańców Szczecina; prowadzenie działalności w zakresie upowszechniania kultury;współpraca i wymiana kulturalna krajowa i zagraniczna; organizacja imprez kulturalnych o zasięgu lokalnym, krajowym i międzynarodowym; współpraca na rzecz kultury z instytucjami, stowarzyszeniami, społecznym ruchem artystycznym i twórcami indywidualnymi",pl. Żołnierza Polskiego 2,70-560,Szczecin,Gmina Miasto Szczecin,Uchwała MRN z dnia 25 września 1985 r.,Waldemar Kulpa,VIII/71/85,-,8510008312,1232451
Miejska Biblioteka Publiczna,MBP,1997-03-13 00:00:00,Biblioteka służy zaspokajaniu i rozwijaniu potrzeb czytelniczych mieszkańców Szczecina oraz upowszechnianiu wiedzy i rozwojowi kultury.,ul. Hoene-Wrońskiego 1,71-302,Szczecin,Gmina Miasto Szczecin,Uchwała RM w Szczecinie z dnia 20 marca 1995 r.,Krzysztof Marcinowski,X/102/95,-,8521104284,810718443
Miejski Ośrodek Kultury,MOK,1997-03-13 00:00:00,"Do zadań MOK należy -prowadzenie działalności kulturalnej, rekreacyjnej i turystycznej na rzecz mieszkańców Szczecina ze szczeg. uwzględnieniem mieszkańców prawobrzeża; prowadzenie działalności w zakresie upowszechniania kultury; współpraca i wymiana kulturalna krajowa i zagraniczna-organizacja imprez kulturalnych, rekreacyjnych, turystycznych o zasięgu lokalnym, krajowym i międzynarodowym; współpraca na rzecz kultury z instytucjami; stowarzyszeniami, społecznym ruchem artystycznym i twórcami indywidualnymi",ul. Goleniowska 67,70-847,Szczecin,Gmina Miasto Szczecin,Uchwała DRN w Szczecinie-Dąbiu z dnia 07 stycznia 1964 r.,Andrzej Oryl,I/1/64,-,8510107652,283179
Dom Kultury Słowianin,DK Słowianin,1997-03-13 00:00:00,"Do zadań DK Słowianin należy: prowadzenie działalności kulturalnej na rzecz mieszkańców Szczecina, ze szczeg. uwzględnieniem środowisk młodzieżowych; prowadzenie działalności w zakresie upowszechniania kultury; współpraca i wymiana kulturalna krajowa i zagraniczna; organizacja imprez kulturalnych o zasięgu lokalnym, krajowym i międzynarodowym; współpraca na rzecz kultury z instytucjami; stowarzyszeniami, społecznym ruchem artystycznym i twórcami indywidualnymi",ul. Korzeniowskiego 2,70-840,Szczecin,Gmina Miasto Szczecin,Uchwała MRN w Szczecinie z dnia 31 stycznia 1985 r.,Jacek Janiak,V/43/85,-,8520010693,1034320
Teatr Lalek Pleciuga,TL Pleciuga,1997-03-13 00:00:00,"Podstawowym zadaniem Teatru jest działalność w sferze kultury artystycznej poprzez realizację spektakli teatralnych, ich prezentację oraz podejmowanie przedsięwzięć im towarzyszących w oparciu ostały zespół aktorski. W zakresie swojej działalności Teatr może prowadzić: edukację kulturalną dzieci i młodzieży; promocję lokalnego środowiska teatralnego; współpracę i wymianę kulturalną w kraju i za granicą; współpracę z instytucjami, stowarzyszeniami, społecznym ruchem artystycznym i twórcami indywidualnymi na rzecz rozwoju kultury teatralnej; organizację imprez kulturalnych o zasięgu lokalnym, krajowym i zagranicznym.",pl. Teatralny 1,71-405,Szczecin,Gmina Miasto Szczecin,Zarządzenie Prezydium Wojewódzkiej Rady Narodowej w Szczecinie z dnia 16 maja 1958 r.oraz Akt o utworzeniu instytucji kultury - Porozumienie między Wojewodą Szczecińskim a Prezydentem Miasta Szczecina zawarte 10 grudnia 1993 r. w sprawie przekazania niektórych zadań i kompetencji z zakresu administracji rządowej do wykonywania organom Miasta Szczecina,Tomasz Lewandowski,KL-1-73-58,-,8510207336,280465
Teatr Współczesny,TW,1997-03-13 00:00:00,"Podstawowym zadaniem TW jest działalność w sferze kultury artystycznej poprzez realizację spektakli teatralnych, ich prezentację oraz podejmowanie przedsięwzięć im towarzyszących w oparciu ostały zespół aktorski. W działalności TW może prowadzić: edukację kulturalną dzieci i młodzieży; promocję środ. teatralnego; współpracę i wymianę kulturalną w kraju i za granicą; współpracę z instytucjami, stowarzyszeniami, społecznym ruchem artystycznym i twórcami indywidualnymi na rzecz rozwoju kultury teatralnej; organizację imprez kulturalnych o zasięgu lokalnym, krajowym i zagranicznym.",ul. Wały Chrobrego 3,70-500,Szczecin,Gmina Miasto Szczecin,Zarządzenie Prezydenta Miasta Szczecina z dnia 02 października 1975 r. oraz Akt o utworzeniu instytucji kultury- Porozumienie między Wojewodą Szczecińskim a Prezydentem Miasta Szczecina zawarte 10 grudnia 1993 r. w sprawie przekazania niektórych zadań i kompetencji z zakresu administracji rządowej do wykonywania organom Miasta Szczecina,Mirosław Gawęda,33/75,-,8510017630,629910
Filharmonia im. Mieczysława Karłowicza w Szczecinie,Filharmonia,1997-03-13 00:00:00,"Zadaniem filharmonii jest działalność w sferze kultury artystycznej poprzez realizację koncertów muzycznych, ich prezentację oraz podejmowanie przedsięwzięć im towarzyszących w oparciu ostały zespół muzyczny. W zakresie swojej działalności Filharmonia może prowadzić: edukację muzyczną dzieci i młodzieży; promocję środ. muzycznego; współpracę i wymianę kulturalną w kraju i za granicą; współpracę z instytucjami, stowarzyszeniami, społecznym ruchem artystycznym i twórcami indywidualnymi na rzecz rozwoju kultury muzycznej; organizację imprez kulturalnych o zasięgu lokalnym, krajowym i zagranicznym.",ul. Małopolska 48,70-515,Szczecin,Gmina Miasto Szczecin,"Zarządzenie MKiS z dnia 15 grudnia 1953 r.oraz Akt o utworzeniu instytucji kultury-Porozumienie między Wojewodą Szczecińskim a Prezydentem Miasta Szczecina zawarte 04 marca 1994 r. w sprawie powierzenia prowadzenia Filharmonii jako zadania zleconego z zakresu administracji rządowej (Dz.U. W.S. nr 3, poz. 23 z 1994 r.)",Dorota Serwa,154/53,Minister Kultury i Dziedzictwa Narodowego,8510311973,280488
Szczecińska Agencja Artystyczna,SAA,1999-03-03 00:00:00,"Do zadań SAA należy: tworzenie i upowszechnianie programów artystycznych, organizowanie i realizowanie imprez okolicznościowych o zasięgu lokalnym, krajowym i zagranicznym; prowadzenie impresariatu; prowadzenie salonów gier zręcznościowych i losowych; promocja środ. kulturalnego; promocja lokalnych wydarzeń kulturalnych; współpraca i wymiana kulturalna krajowa i zagraniczna; współpraca z instytucjami, stowarzyszeniami, społecznym ruchem artystycznym i twórcami indywidualnymi; w zakresie zadań może się znajdować administracja i eksploatacja Teatru Letniego",al. Wojska Polskiego 64,70-479,Szczecin,Gmina Miasto Szczecin,Uchwała Prezydium WRN w Szczecinie z dnia 27 października 1960r. oraz akt o utworzeniu instytucji kultury- Porozumienie między Wojewodą Szczecińskim a Prezydentem Miasta Szczecina zawarte 10 grudnia 1993r. w sprawie przekazania niektórych zadań i kompetencji z zakresu administracji rządowej do wykonywania organom Miasta Szczecina. Statut nadany uchwałą Rady Miasta Szczecina z dnia lipca 1998 r.,Anna Lemańczyk,XXXVII/401/60,-,8520014449,279829
Dom Kultury Klub Skolwin,Klub Skolwin,2004-01-05 00:00:00,"Do zadań Klubu Skolwin należy: rozwijanie, upowszechnianie i zaspokajanie społecznych potrzeb kulturalnych, ze szczególnym uwzględnieniem mieszkańców północnych dzielnic Szczecina, prowadzenie edukacji kulturalnej i artystycznej wśród dzieci i młodzieży, wspieranie działalności lokalnych organizacji poza-rządowych w zakresie upowszechniania kultury i sztuki, wspierania amatorskiej twórczości artystycznej, rekreacji i wypoczynku, promowania zdrowego stylu życia i kultury zdrowotnej współpraca z instytucjami, stowarzyszeniami, społecznym ruchem artystycznym i twórcami indywidualnymi na rzecz rozwoju kultury i sztuki, współpraca i wymiana kulturalna krajowa i za-graniczna, organizacja imprez kulturalnych o zasięgu lokalnym, krajowym i między-narodowym, prowadzenie we współpracy z Miejską Biblioteką Publiczną punktu bibliotecznego.",ul. Stołczyńska 163,71-868,Szczecin,Gmina Miasto Szczecin,Uchwała Nr XIII/264/03 Rady Miasta w Szczecinie z dnia 1 grudnia 2003 r.,Adam Komorowski,XIII/264/03,-,8512851834,812663456
Muzeum Techniki i Komunikacji-Zajezdnia Sztuki,Muzeum,2006-04-07 00:00:00,"Do zadań Muzeum należy: trwała ochrona zabytków techniki i komunikacji miejskiej, gospodarki komunalnej, inżynierii miejskiej oraz historii komunikacji społecznej z uwzględnieniem najnowszych zjawisk z dziedziny technologicznej i artystycznej; gromadzenie zabytków i materiałów dokumentacyjnych związanych z komunikacją miejską, gospodarką komunalną i inżynierią miejską oraz innych zabytków techniki związanych z historią miasta, regionu oraz ich konserwacja, katalogowanie i opracowanie naukowe; udostępnianie zbiorów i prowadzenie działalności wystawienniczej, promocyjnej, popularyzatorskiej, edukacyjnej, badawczej i wydawniczej.",ul. Niemierzyńska 18a,71-441,Szczecin,Gmina Miasto Szczecin,Uchwała Rady Miasta Szczecin z dnia 7 listopada 2005 r.,Stanisław Horoszko,XLV/872/05,-,8512950306,320140615
Ośrodek Teatralny Kana,Ośrodek Kana,2007-01-05 00:00:00,"Podstawowym zadaniem instytucji jest upowszechnianie kultury, ze szczególnym uwzględnieniem współczesnych zjawisk i praktyk teatralnych, a także organizowanie i promowanie działalności artystycznej na terenie swojego działania.",pl. Św.Piotra i Pawła 4/5,70-521,Szczecin,Gmina Miasto Szczecin,Uchwała Rady Miasta Szczecin z dnia 16 października 2006 r.,Dariusz Mikuła,LXIII/1186/06,Samorząd Województwa Zachodniopomorskiego,8512997348,320298470
Trafostacja Sztuki w Szczecinie,Trafostacja Sztuki,2012-11-02 00:00:00,"Podstawowym celem instytucji jest prezentacja współczesnej sztuki polskiej i zagranicznej. Do zakresu statutowej działalności Trafostacji Sztuki należy w szczególności: prowadzenie działalności wystawienniczej w zakresie sztuki współczesnej, organizowanie i prowadzenie edukacji kulturalnej, prowadzenie działalności wydawniczej, organizowanie krajowej i międzynarodowej współpracy i wymiany artystycznej, podejmowanie działań badawczych i popularyzatorskich dotyczących sztuki współczesnej, inicjowanie, podejmowanie i prowadzenie współpracy z instytucjami, organizacjami, szkołami i uczelniami, związkami twórczymi oraz innymi podmiotami krajowymi i międzynarodowymi, ze szczególnym uwzględnieniem Akademii Sztuki w Szczecinie, w zakresie dotyczącym działalności statutowej, prowadzenie działalności archiwizacyjnej i dokumentacyjnej w zakresie dotyczącym w szczególności twórców i dzieł sztuki współczesnej.",ul. Św. Ducha 4,70-205,Szczecin,Gmina Miasto Szczecin,Uchwała Rady Miasta Szczecin z dnia 23 kwietnia 2012 r. w sprawie utworzenia i nadania statutu instytucji Kultury pod nazwą Trafostacja Sztuki w Szczecinie,Stanisław Ruksza,XVIII/517/12,-,8522600039,321295998
Dom Kultury Krzemień w Szczecinie,Krzemień,2020-04-15 00:00:00,"Podstawowym celem działania DK Krzemień jest rozpoznawanie, rozbudzanie i zaspokajanie zainteresowań oraz aspiracji kulturalnych, kształtowanie wzorców i nawyków aktywnego uczestnictwa w kulturze poprzez organizowanie, tworzenie i upowszechnianie działalności kulturalnej, a także promowanie zdrowego stylu życia.",ul. Krzemienna 10,70-742,Szczecin,Gmina Miasto Szczecin,Uchwała Rady Miasta Szczecin z dnia 22 października 2019 r. w sprawie utworzenia Domu Kultury Krzemień w Szczecinie,Michał Giełzak,XI/340/19,-,9552540704,385961675
Willa Lentza,Willa Lentza,2021-01-04 00:00:00,"Podstawowym celem działania Willi Lentza jest prowadzenie działalności kulturalnej, a także podejmowanie działań służących upowszechnianiu, zachowaniu oraz promocji dziedzictwa kulturowego Szczecina.",al. Wojska Polskiego 84,70-482,Szczecin,Gmina Miasto Szczecin,Uchwała Rady Miasta Szczecin z dnia 28 lipca 2020r. w sprawie utworzenia samorządowej instytucji kultury o nazwie: Willa Lentza,Jadwiga Łucja Kimber,XX/622/20,-,8522669574,387889841
